	EXRN00	EXRN01	EXRN02	EXRN03	EXRN04	EXRSTD	PCL01	PCL02	PCL03	PCL04	PCL05	PCL06	PCL07	PCL08	PCL09	PCL10	PCL11	PCL12	PCL13	PCL14	PCL15	PCL16	PCL17	PCL18	PCL19	PCL20	PCL21	PCL22	PCRN01	PCRN02	PCRN03	PCRN04	PCRNSK1	PCRNSK2	PCRSTD01	PCRSTD02	PCRSTDSK	PCZ01	PCZ02	PCZ03	PCZ04	PCZ05	PCZ06	PCZ07	PCZ08	PCZ09	PCZ10	PCZ11	PCZ12	PCZ13	PCZ14	PCZ15	PCZ16	PCZ17	PCZ18	PCZ19	PCZ20	PCZ21	PCZ22	PCZ23	PCZ24	PCZ25	PCZ26	PCZ27	PCZ28	PCZ29	PCZ30	PLS01	PLS02	PLS03	PLS04	PLS05	PLS06	PLS07	PLS08	PLS09	PLS10	PLS11	PLS12	PLS13	PLS14	PLS15	PLS16	PLS17	PLS18	PLS19	PLS20	PWW01	PWW02	PWW03	PWW04	PWW05	PWW06	PWW07	PWW08	PWW09	PWW10	PWW11	PWZ01	PWZ02	PWZ03	PWZ04	PWZ05	PWZ06	PWZ07	PWZ08	PWZ09	PWZ10	UNCG288	UNCG289	UNCG290	UNCG293	UNCG294	UNCG295	UNCG318	UNCGN
ASV_23	0	0	4	0	2	0	819	545	668	969	368	369	620	624	625	661	198	249	255	83	194	169	126	487	195	259	1108	94	0	5	0	0	0	0	0	0	0	1334	517	2242	1180	791	1405	1513	138	979	1188	1915	2560	811	2410	412	1371	721	1214	7	1964	691	817	129	1738	1955	784	1194	1050	203	97	222	314	372	99	580	490	203	752	683	345	862	361	211	209	197	541	578	115	470	446	3	6	0	1	0	0	0	3	3	0	5	0	1	0	0	0	0	0	0	8	25	0	0	0	0	0	0	0	0
ASV_24	0	0	5	0	3	0	393	961	1061	409	377	325	671	266	1442	148	760	80	19	26	8	25	29	28	219	336	361	514	9	0	0	0	0	0	0	0	0	168	91	896	527	102	118	671	19	287	92	50	93	90	952	31	623	163	49	2	80	114	14	6	7	361	81	131	55	0	217	105	0	2	2	30	9	67	20	22	33	62	10	148	88	0	9	0	3	0	0	524	2379	3633	2137	2538	2296	2426	1259	553	2251	3366	1721	1673	285	732	385	3360	1531	1279	845	15	187	26	132	40	18	116	102	0
ASV_25	0	0	7	1	11	0	27	175	1359	945	152	1231	1912	3736	133	2327	850	0	63	0	1214	2076	135	348	6	0	4	256	0	0	0	0	0	0	0	0	0	355	111	1290	115	674	638	3966	35	895	199	118	29	133	1322	17	1153	141	740	7	849	316	871	56	116	345	257	123	193	479	2	0	1	0	0	0	2	295	1370	1785	945	1111	254	1711	872	412	1315	2195	1990	1300	2783	0	2	0	0	3	5	0	1	1	0	0	6	7	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ASV_26	0	0	0	0	0	4648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	3199	15545	1700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	80	0	0	28	35	0	33	238	86	0	0	0	0	141	0	23434	0	0	0	3	0	0	0	0
ASV_27	0	0	4	0	1	0	626	54	2373	10869	2126	1150	8500	699	326	2807	909	0	1462	0	2	838	69	103	16	0	41	93	3	0	0	0	0	0	0	0	0	170	66	2	57	769	684	1224	169	666	933	516	35	63	784	18	966	144	596	9	1272	540	697	64	1035	1048	261	103	1707	322	28	0	0	0	0	0	1	50	289	275	137	171	55	0	0	0	0	0	0	1	0	4	0	0	0	0	2	0	1	0	1	0	3	3	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV_28	0	0	0	0	7	0	1012	1639	2291	163	0	926	148	4	4	337	1789	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1784	2522	23	0	306	709	282	0	3834	104	1275	0	320	0	0	0	2	333	130	75	86	1811	2959	58	0	15	0	0	0	0	0	0	0	0	1563	6693	1836	3520	2122	1949	80	758	602	2869	1594	123	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_29	0	0	0	0	2	0	63	167	34	474	395	45	488	227	366	1027	0	0	30	42	7	52	0	47	144	12	81	24	1	0	1	0	0	0	2	0	0	1189	159	601	481	395	450	677	66	788	554	535	723	496	898	636	532	269	921	0	774	560	2185	574	847	1709	379	758	383	186	0	3	289	479	50	167	197	43	285	205	206	557	70	11	81	271	249	864	169	57	66	368	813	307	106	403	695	698	777	2014	2617	1133	859	1103	269	397	763	903	1653	204	771	32	591	175	69	1054	235	1099	0	0
ASV_30	0	0	0	0	0	0	9	0	0	0	2	0	6	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	11	0	0	0	0	0	0	0	0	888	0	1379	3	1728	59	1	0	6	13	5	188	7713	1	0	0	421	0	4941	2763	7646	46	4600	3400	6	2976	3711	3445	8	0	0	0	0	0	3	0	8	0	0	0	0	0	7	0	3	1	0	0	0	0	2	7	2	7	0	0	0	4	0	9	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV_31	0	0	0	0	8	0	196	521	391	208	420	140	478	352	249	1114	49	111	162	114	236	100	33	522	68	463	987	289	0	0	0	0	0	0	0	0	0	1547	559	971	1006	673	1018	639	124	1606	1114	593	485	598	943	946	1482	815	549	14	1077	606	2205	792	703	2311	828	1305	1613	444	2481	235	257	299	87	252	288	137	219	323	289	443	167	262	376	240	272	434	207	598	350	0	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	1	0	1	6	32	0	0	0	0	0	0	0	0
ASV_32	0	0	1	0	0	0	810	800	796	189	196	179	281	370	0	228	156	0	0	136	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1128	1553	0	0	11	141	0	3	0	9	1485	0	0	0	490	520	917	12	16	47	0	0	0	1454	447	0	0	0	78	0	1247	4	2245	584	0	442	357	1242	269	1120	0	229	507	0	97	0	417	700	733	0	5067	76	2463	110	1534	415	826	287	221	107	390	1749	15	52	1455	85	703	21	39	161	102	29	95	121	178	1414	63	1388	0
